# .github/ledger-secrets.tsv — every job workflow, and whether anything proves
# its ledger carries no credential.
#
# A job's ledger is everything about it that outlives it: the spec, every
# step's result and error, every job event, and the process log. All four are
# readable by anyone who can read a job, they are copied into backups, and none
# of them is a place a credential can be withdrawn from once it has landed. A
# passphrase-wrapped key counts as a secret; wrapping makes it attackable
# offline, not unreadable.
#
# The assertion itself lives in each workflow's own package, where the harness
# that can run that workflow is. This file is the part no package can see:
# whether every workflow has one. api/internal/ledgertest's register test holds
# it to the tree, so a workflow added tomorrow fails until someone has written
# down which of the three answers applies.
#
# status:
#   covered    `test` names the test(s) that run the workflow on the real
#              Runner and JOBS stream and scan all four surfaces. The gate
#              fails if a named test does not exist.
#   pending    no assertion yet. `cite` names the issue that will add it, and
#              `test` is empty. This is a gap, recorded — not a pass.
#   no-secret  the workflow handles no credential material. `note` says why.
#              That claim IS the assertion for this workflow, so it is written
#              down or it is not made.
#
# Checked by: go test ./api/internal/ledgertest/
kind	source	status	test	cite	note
app.delete	api/internal/apps/jobs.go	pending		geekdojo/geekdojo-brain#592	
app.deploy	api/internal/apps/jobs.go	pending		geekdojo/geekdojo-brain#592	
app.edit	api/internal/apps/edit.go	pending		geekdojo/geekdojo-brain#592	
app.revert	api/internal/apps/revert.go	pending		geekdojo/geekdojo-brain#592	
app.stop	api/internal/apps/jobs.go	pending		geekdojo/geekdojo-brain#592	
app.upgrade	api/internal/apps/upgrade.go	pending		geekdojo/geekdojo-brain#592	
apps.leaf_rotate	api/internal/apps/jobs.go	pending		geekdojo/geekdojo-brain#592	
apps.reconcile	api/internal/apps/jobs.go	pending		geekdojo/geekdojo-brain#592	
backup.restore_app	api/internal/storage/restore_app.go	pending		geekdojo/geekdojo-brain#592	
backup.run	api/internal/storage/backup_jobs.go	covered	TestNoKeyMaterialReachesTheLedger		
backup.target.claim	api/internal/storage/jobs.go	covered	TestClaimSaga_KeyMaterialNeverEntersTheLedger		
bmc.configure	api/internal/bmc/configure.go	pending		geekdojo/geekdojo-brain#592	
bmc.power	api/internal/bmc/jobs.go	pending		geekdojo/geekdojo-brain#592	
diag.ping	api/internal/jobs/diag.go	no-secret			The spec is a node id and the result is a round-trip time. Nothing on this path reads a credential, writes one, or asks the agent for one.
firewall.apply	api/internal/firewall/jobs.go	covered	TestApplyWorkflow_PPPoESecretNeverEntersTheLedger		
firewall.dns_forward	api/internal/firewall/dnsforward.go	pending		geekdojo/geekdojo-brain#592	
firewall.reconcile	api/internal/firewall/jobs.go	pending		geekdojo/geekdojo-brain#592	
firewall.set_active	api/internal/firewall/jobs.go	pending		geekdojo/geekdojo-brain#592	
mesh.apply	api/internal/mesh/jobs.go	pending		geekdojo/geekdojo-brain#592	
mesh.enroll_node	api/internal/mesh/jobs.go	covered	TestEnrollJob_KeyNeverReachesTheLedger		
mesh.reconcile	api/internal/mesh/jobs.go	pending		geekdojo/geekdojo-brain#592	
node.reboot	api/internal/jobs/reboot.go	no-secret			The spec is a node id and a reason string typed by the operator. The command carries no credential, and the agent needs none beyond the bus session it already holds.
node.update	api/internal/updater/jobs.go	pending		geekdojo/geekdojo-brain#592	
obs.collectors.deploy_node	api/internal/obs/collector_jobs.go	pending		geekdojo/geekdojo-brain#592	
obs.collectors.reconcile	api/internal/obs/collector_jobs.go	pending		geekdojo/geekdojo-brain#592	
obs.collectors.teardown_node	api/internal/obs/collector_jobs.go	pending		geekdojo/geekdojo-brain#592	
obs.disable	api/internal/obs/jobs.go	pending		geekdojo/geekdojo-brain#592	
obs.enable	api/internal/obs/jobs.go	pending		geekdojo/geekdojo-brain#592	
storage.reconcile	api/internal/storage/target_health.go	pending		geekdojo/geekdojo-brain#592	
system.update	api/internal/updater/system_jobs.go	pending		geekdojo/geekdojo-brain#592	
