# .github/third-party-capabilities.tsv — every upstream behaviour this system
# depends on, the version it was verified at, and how.
#
# Several of our security properties are not ours. They are behaviours of an
# upstream project that someone read once, at one version, and then built on.
# Each was true at that version. None of them is a promise.
#
# A version bump is exactly the moment a vendor behaviour changes, and also the
# moment nobody re-reads the reasoning that depended on it. So the gate sits on
# the bump: this file records the version, api/internal/gatereg's test reads the
# version the tree actually pins, and a difference fails until the row has been
# re-verified at the new one.
#
# Columns:
#   id          a stable key for the row.
#   vendor      the upstream project.
#   version     the version the capability was verified at.
#   capability  what we rely on it to do. Specific enough to re-test.
#   verified    HOW it was checked - the column that makes this a record rather
#               than a wish. `unverified` is allowed and must cite a probe.
#   pin         where the tree pins the version:
#                 go-const:<path>#<Name>   a Go constant holding "image:tag"
#                 go-mod:<path>#<module>   a go.mod require line
#                 elsewhere:<repo path>    pinned in another repository; this
#                                          gate records it and cannot check it
#   cite        the issue or probe, required when `verified` is `unverified`.
#
# Do NOT edit `version` to make the gate pass. Re-verify the capability at the
# version the tree now pins, then write down what you did in `verified`.
#
# Checked by: go test ./api/internal/gatereg/
id	vendor	version	capability	verified	pin	cite
T01	VictoriaMetrics	v1.103.0	vmalert starts with alerting rules and no notifier when given -notifier.blackhole, keeps evaluating, and writes ALERTS and ALERTS_FOR_STATE over remoteWrite	Ran the pinned image with no notifier flag and confirmed it refuses to start, then with -notifier.blackhole and confirmed it evaluates and writes the series (geekdojo/rasputin-control-plane#345).	go-const:api/internal/obs/supervisor.go#defaultVMAlertImage	
T02	VictoriaMetrics	v1.103.0	an instant query uses its step as the lookbehind for the raw sample, so a series older than the bound drops out of the result	The alert read-back was run against the pinned image: after stopping vmalert the alert resolved once the last sample passed the bound (geekdojo/rasputin-control-plane#345).	go-const:api/internal/obs/supervisor.go#defaultVMImage	
T03	Headscale	0.28.0	headscale apikeys expire --prefix expires a previously minted REST key, so each api start can rotate its own	Read the command at the pinned tag and exercised it against the running container.	go-const:api/internal/mesh/supervisor_docker.go#defaultImage	
T04	Grafana Alloy	v1.4.2	an http tls block with client_auth_type set to RequireAndVerifyClientCert makes the debug listener refuse a client with no certificate, and the in-process self-scrape keeps working because it does not use the TCP listener	Local probe of the pinned image: a client with no certificate is refused and the self-scrape still reports.	go-const:api/internal/obs/supervisor.go#defaultAlloyImage	
T05	Grafana Alloy	v1.4.2	a ca_pem that is an exact copy of a self-signed server certificate is accepted as the trust anchor, and a self-signed cert_file/key_file pair is accepted as the client certificate	unverified	go-const:api/internal/obs/supervisor.go#defaultAlloyImage	geekdojo/geekdojo-brain#589
T06	nats-server	v2.14.6	the auth callout is handed the client's peer certificates, so a callout could authenticate by certificate rather than by token	Read auth_callout.go at the pinned version. Not relied on yet; recorded because the decision to keep a token on the bus cites its absence as a reason, and that reason is not true.	go-mod:api/go.mod#github.com/nats-io/nats-server/v2	
T07	nats-server	v2.14.6	a JWT Permission.Deny on a subject denies publishing to it even when a broader Allow would match	Read the permission evaluation at the pinned version.	go-mod:api/go.mod#github.com/nats-io/nats-server/v2	
T08	Grafana	11.5.1	the server reads its configuration from the file the supervisor renders, and starts with the unit's umask rather than forcing its own	Run under the agent's supervisor against the real binary in CI (the grafana obs socket job).	go-const:api/internal/obs/supervisor.go#defaultGrafanaImage	
T09	Loki	3.4.1	the log store accepts the supervisor's rendered configuration and serves on the address it is given	Run under the supervisor's rendered config against the pinned image.	go-const:api/internal/obs/supervisor.go#defaultLokiImage	
T10	Caddy	2.11.4	POST to the admin /load endpoint is a no-op when the posted config is unchanged, so a reconcile does not restart the server	unverified	elsewhere:rasputin-os (the caddy package version)	geekdojo/geekdojo-brain#454
T11	RAUC	1.13	a keyring with check-purpose=codesign refuses a bundle whose signer does not carry the code-signing purpose	Probe: CI's rauc bundle was run against a check-purpose=codesign configuration and the production intermediate's EKU was read (geekdojo/geekdojo-brain#466).	elsewhere:rasputin-os package/rauc	
T12	dropbear		key-only login still works for an account whose password hash is a non-empty unusable value, and is refused for one locked with an exclamation mark	unverified	elsewhere:rasputin-os (the dropbear package version)	geekdojo/geekdojo-brain#546
T13	Docker Engine	27.5.1	a loopback publish still leaves the published port and the container IP reachable from an L2 neighbour; moby#49325 is fixed in Engine 28	Read the upstream issue and pull text. Inferred rather than measured on our image, which is why the step that depends on it also carries a bench probe.	elsewhere:rasputin-os (the docker-engine package version)	geekdojo/geekdojo-brain#470
T14	OpenWrt	25.12.5	rpcd's session login accepts root with an empty password hash, and login.sh behaves as read	unverified	elsewhere:rasputin-openwrt-firewall (the ImageBuilder release)	geekdojo/geekdojo-brain#499
