# .github/codeql-register.tsv — the reviewed record of every CodeQL finding.
# Regenerate with: scripts/codeql-register.sh --refresh <sarif-dir>
# Policy, verdict vocabulary and fingerprint scheme: scripts/codeql-register.sh
#
# verdict: real | false-positive | deliberate | unreviewed
#
# A critical/high finding that is `real` or `unreviewed` FAILS the gate and
# blocks the release — such code is never built into an image. Medium and low
# are reported and must still carry a verdict, but do not block.
#
# There is deliberately no `blocked` verdict: this is code we wrote, so a fix
# is always available, and an undecided fix is an unmade decision rather than
# an unavailable one.
#
# Accepted findings are ALSO annotated at the site in the source. Where a
# verdict depends on a condition the fingerprint cannot see — an adjacent line,
# a caller, a config value — the reasoning must carry an explicit TRIP-WIRE
# note naming it.
#
# 'line' is navigation only and is refreshed each run; it is NOT part of the
# identity. The fingerprint is sha256(rule, path, CodeQL's line-content hash),
# so a finding that MOVES keeps its verdict and a finding whose flagged line is
# EDITED resets to unreviewed.
fingerprint	rule	severity	path	line	verdict	issue	reasoning
e771b59fc0361e1d	go/disabled-certificate-check	high	agent/internal/bmc/pinnedtls.go	66	false-positive		Certificate pinning is STRICTER than the CA trust being skipped: CA trust accepts any certificate a trusted issuer signed for a matching name within its dates; this accepts exactly one public key (SHA-256 of the DER SubjectPublicKeyInfo, the same encoding as the cluster bus pin) and nothing else. Skipping is also not optional - the board mints a self-signed certificate at the epoch, so it is permanently expired and no chain check can ever pass. The check runs in VerifyConnection, which unlike VerifyPeerCertificate also runs on RESUMED connections. TRIP-WIRE: the safety of the flagged line lives in the VerifyConnection function immediately below it. If that function is removed, made conditional, or replaced with one that compares less than the full digest, this becomes accept-any-certificate and this verdict is void; the fingerprint covers only the flagged line and will NOT catch it. Replaces the row for turingpi.go, whose TLS config this file now builds.
e980f101c54328e7	go/disabled-certificate-check	high	agent/internal/bmc/probe.go	110	deliberate		Verification really is off and this really is TOFU. Safe to ship because the connection carries nothing and grants nothing: the request is an unauthenticated GET of /api/bmc?opt=get&type=about, the VerifyConnection hook only RECORDS the device pin and the certificate subject and always returns nil, and the recorded pin is shown to the operator to accept before it becomes the pin the driver enforces. The credentialed half of the probe runs on a SECOND call carrying that accepted pin, and only while the board still presents that key. TRIP-WIRE: void if this probe ever sends credentials, or if its result configures anything without the operator accepting the pin. Supersedes the row for the same site before it moved from a cert-DER fingerprint to an SPKI pin.
5be2c43d14097e99	go/disabled-certificate-check	high	agent/internal/bus/client.go	280	false-positive		Certificate pinning, which is STRICTER than the chain check it skips (geekdojo/geekdojo-brain#448): chain trust accepts any certificate a trusted issuer signed; the VerifyConnection callback assigned beside this line in pinnedTLSConfig accepts exactly one public key, by the SHA-256 of the leaf SubjectPublicKeyInfo compared with the node's bus pin, and fails the handshake for anything else. Skipping the chain is required by design: the bus certificate is self-signed, and validity dates must not decide bus membership on a Pi that boots before NTP. Proven, not asserted, in agent/internal/bus/pinned_tls_config_test.go: TestPinnedTLSConfig_RefusesADifferentKeyInARealHandshake (a server with a different key is refused), TestPinnedTLSConfig_RefusesAServerWithNoCertificate (no certificate is refused), TestPinnedTLSConfig_PinCheckRunsOnResumedSessions (a resumed session still runs the pin check; verified to FAIL if the check is moved to VerifyPeerCertificate), and TestPinnedTLSConfig_TripWire_NeverSkipsVerificationWithoutAPinCheck; plus agent/internal/bus/pin_test.go TestClient_PinnedTLS and api/internal/bustls/functional_test.go TestFunctional_OfferMode with the real agent binary. TRIP-WIRE: this verdict lives on the VerifyConnection assignment, which the fingerprint does not cover — if it is removed, made conditional, or stops comparing the full digest, this line accepts any server; the trip-wire test above is what notices.
2ac3073c31bc6b9b	go/weak-sensitive-data-hashing	high	api/internal/busauth/tokens.go	113	false-positive		Not password hashing. Every stored verifier is sha256 of a token GenerateToken produced - 32 bytes from crypto/rand, 256 bits, hex-encoded - minted here by MintBound or offline by rasputin-provision and loaded as a preseed hash by PreloadHashes. The flow CodeQL reports is Validate hashing the join token a connecting client presents as its NATS password (callout.go): network input, but only ever looked up against those verifiers, so what an attacker must guess is a 256-bit random value. Slow KDFs exist to make brute-force expensive against LOW-entropy human-chosen secrets; a 256-bit random token has no searchable keyspace, so argon2/bcrypt would buy nothing and would add cost to every bus authentication. TRIP-WIRE: void the moment a verifier is stored for an operator-typed secret, whether through HashToken, PreloadHashes or anything else. Today HashToken's callers are GenerateToken (used by MintBound and rasputin-provision) and Validate, and PreloadHashes stores only the hashes rasputin-provision got from GenerateToken. The passkey session store (api/internal/auth/store.go) also hashes session cookie tokens with it; those are 32 bytes from crypto/rand (auth.randomToken), the same premise.
73bf0ca53c405759	go/weak-sensitive-data-hashing	high	api/internal/mesh/compile.go	121	false-positive		False on two independent grounds. (1) No secret is present: CodeQL's paths start at ListPreAuthKeys and reach HashObserved through the observed-state map reconcileFetch builds in api/internal/mesh/jobs.go (HashObserved's only caller), and that per-key map copies only user, reusable, ephemeral and tags - never the key's ID or Plaintext, so key material never enters it. CodeQL tainted on the type NAME, not a value. (2) Not password hashing: this is a change-detection fingerprint reconcile compares desired against observed with, and nothing is ever verified against it. TRIP-WIRE: ground 1 holds only while the map reconcileFetch hashes stays metadata-only; copying a real key or token into it, or a new HashObserved caller that passes one, re-opens this.
bf15a5b3ef9fb657	go/path-injection	high	backupxfer/fsat/fsat_unix.go	54	false-positive		The flagged sink is not an open: it is the parent.Name()+"/"+name label OpenDir passes to os.NewFile, a display name for a directory fd that is already open. The open itself is the Openat just above, which takes ONE path component relative to an already-opened directory fd with O_NOFOLLOW|O_DIRECTORY, then fstats and requires a directory: the kernel resolves the name beneath that fd and a symlink in it is ELOOP, so the primitive can only ever open a child of the fd it was handed, never a path. Whether a caller may name that child is the caller's shape check — the restore validates archive members and generation ids (validateRestorePath, proto.BackupValidGenerationID) and the ingest endpoint validates member paths by shape (proto.BackupValidMemberPath) before calling it. The taint CodeQL follows is the restore request's generation id, which PrepareRestore has already refused unless proto.BackupValidGenerationID accepts it, and which is opened relative to the generations directory. Covered by backupxfer/fsat tests (symlink refused at every position) and the restore's hostile-member cases.
78be11e5b161b564	go/weak-sensitive-data-hashing	high	api/internal/console/sha512crypt.go	95	false-positive		False positive on the query's own terms: it is matching the PRIMITIVE and cannot see the construction around it. These sha512.New() calls are the inner hash of crypt(3) SHA-512 (Drepper), whose stretch loop in the same function runs console.CryptRounds = 100,000 iterations over a 16-character per-password random salt - which is exactly the "computationally expensive" property the query says is missing. Measured 2026-09-19: ~70 ms to derive one candidate here, vs ~3 ms at crypt's 5,000-round default. The residual weakness is real and accepted: sha512crypt is not memory-hard, so it is weaker against GPU attack than argon2/yescrypt/bcrypt. It is not a free choice - the value goes into root's /etc/shadow on two images that must VERIFY it, and OpenWrt's BusyBox crypt does $1$/$5$/$6$ only, no yescrypt. The value never leaves the control plane except to a node over its own bus lane, is never in a job spec, step result, event or log, and is 0600 at rest. TRIP-WIRE: void if the stretch loop is removed or short-circuited, or if CryptRounds is lowered - then this really is a bare digest over a password. Revisit when BusyBox on the firewall image can verify yescrypt.
6ff39d7e0386fa61	go/weak-sensitive-data-hashing	high	api/internal/console/sha512crypt.go	97	false-positive		False positive on the query's own terms: it is matching the PRIMITIVE and cannot see the construction around it. These sha512.New() calls are the inner hash of crypt(3) SHA-512 (Drepper), whose stretch loop in the same function runs console.CryptRounds = 100,000 iterations over a 16-character per-password random salt - which is exactly the "computationally expensive" property the query says is missing. Measured 2026-09-19: ~70 ms to derive one candidate here, vs ~3 ms at crypt's 5,000-round default. The residual weakness is real and accepted: sha512crypt is not memory-hard, so it is weaker against GPU attack than argon2/yescrypt/bcrypt. It is not a free choice - the value goes into root's /etc/shadow on two images that must VERIFY it, and OpenWrt's BusyBox crypt does $1$/$5$/$6$ only, no yescrypt. The value never leaves the control plane except to a node over its own bus lane, is never in a job spec, step result, event or log, and is 0600 at rest. TRIP-WIRE: void if the stretch loop is removed or short-circuited, or if CryptRounds is lowered - then this really is a bare digest over a password. Revisit when BusyBox on the firewall image can verify yescrypt.
58ea74833c862885	go/weak-sensitive-data-hashing	high	api/internal/console/sha512crypt.go	103	false-positive		False positive on the query's own terms: it is matching the PRIMITIVE and cannot see the construction around it. These sha512.New() calls are the inner hash of crypt(3) SHA-512 (Drepper), whose stretch loop in the same function runs console.CryptRounds = 100,000 iterations over a 16-character per-password random salt - which is exactly the "computationally expensive" property the query says is missing. Measured 2026-09-19: ~70 ms to derive one candidate here, vs ~3 ms at crypt's 5,000-round default. The residual weakness is real and accepted: sha512crypt is not memory-hard, so it is weaker against GPU attack than argon2/yescrypt/bcrypt. It is not a free choice - the value goes into root's /etc/shadow on two images that must VERIFY it, and OpenWrt's BusyBox crypt does $1$/$5$/$6$ only, no yescrypt. The value never leaves the control plane except to a node over its own bus lane, is never in a job spec, step result, event or log, and is 0600 at rest. TRIP-WIRE: void if the stretch loop is removed or short-circuited, or if CryptRounds is lowered - then this really is a bare digest over a password. Revisit when BusyBox on the firewall image can verify yescrypt.
c70267e9c674e17e	go/weak-sensitive-data-hashing	high	api/internal/console/sha512crypt.go	116	false-positive		False positive on the query's own terms: it is matching the PRIMITIVE and cannot see the construction around it. These sha512.New() calls are the inner hash of crypt(3) SHA-512 (Drepper), whose stretch loop in the same function runs console.CryptRounds = 100,000 iterations over a 16-character per-password random salt - which is exactly the "computationally expensive" property the query says is missing. Measured 2026-09-19: ~70 ms to derive one candidate here, vs ~3 ms at crypt's 5,000-round default. The residual weakness is real and accepted: sha512crypt is not memory-hard, so it is weaker against GPU attack than argon2/yescrypt/bcrypt. It is not a free choice - the value goes into root's /etc/shadow on two images that must VERIFY it, and OpenWrt's BusyBox crypt does $1$/$5$/$6$ only, no yescrypt. The value never leaves the control plane except to a node over its own bus lane, is never in a job spec, step result, event or log, and is 0600 at rest. TRIP-WIRE: void if the stretch loop is removed or short-circuited, or if CryptRounds is lowered - then this really is a bare digest over a password. Revisit when BusyBox on the firewall image can verify yescrypt.
