# .github/auth-register.tsv — one canonical authentication method per cell,
# and every second method that is allowed to exist alongside it.
#
# Rows are written BY HAND. Recompute fingerprints and line numbers with:
#   scripts/auth-register.sh --refresh
# The rule, the four conditions a justification must meet, the anchor forms
# and what the gate fails on: scripts/auth-register.sh
#
# kind:   canonical | exception
# status: true-now | unverified | decision
# revisit: a CHECKABLE FACT. A date is never a trigger, and the gate says so.
# anchor: go:<path>#<Symbol> | text:<path>#<literal> | none: (needs a cite)
#
# 'line' is navigation only and is refreshed each run; it is NOT part of the
# fingerprint, so edits above a row do not churn this file. Editing the
# ANCHORED declaration does change the fingerprint, and the gate then fails
# until someone re-reads the row against the code that changed.
#
# This file is PUBLIC. A row describing a fail-open that is unfixed and
# reachable does not belong here; it lives in a private geekdojo-brain issue
# and moves here in the pull request that fixes it.
fingerprint	id	kind	cell	method	exception	constraint	status	revisit	anchor	cite	line
20a300f6266fcbf4	C01	canonical	browser to api, authenticate, HTTPS	A discoverable passkey issues an opaque session. The session token is stored as its sha256 hash, and user verification is required.			decision		go:api/internal/auth/service.go#NewService	geekdojo/geekdojo-brain#561	108
c3fdd7e38daa8c97	C02	canonical	origin enforcement, HTTPS and WSS	One normalized origin allowlist feeds WebAuthn, CORS, the WebSocket origin check and cross-origin protection. The security header set ships with it and carries no HSTS.			decision		go:api/internal/auth/origins.go#NewOriginAllowlist	geekdojo/geekdojo-brain#578	33
c673b5666203f866	C03	canonical	first-run surface, HTTPS	One fail-closed first-run predicate. A read error is an error, never the answer 'no users yet'.			true-now		go:api/internal/auth/store.go#Store.FirstRun		80
73d0371a0c826347	C04	canonical	node to control plane, client auth, NATS	A join token bound to the node id and to the role at mint, re-read on every connect. A token carrying no role never validates.			decision		go:api/internal/busauth/tokens.go#Store.MintBound	geekdojo/geekdojo-brain#567	228
1dcba50fbbaeddbc	C05	canonical	node to control plane, server auth, NATS	The bus key's SPKI pin. One resolver reads it, in order, from the seeded environment value, from the pin file a delivery wrote, and — on the controlplane's own agent alone — from the pin file its api writes at every start. A pin that was configured and is not usable never falls through to plaintext: the node refuses to dial rather than send its join token in the clear. A node that was never given a pin still dials plaintext, which is how a fleet enrolled before the pin existed receives one.			true-now		go:agent/internal/bus/pin.go#ResolvePin		146
009626e3cf2c1aa1	C06	canonical	revocation, every protocol	One fact revokes: the token row is revoked, or the node is removed. Today that revokes the token and closes every live bus session it authenticated, and the node stays in inventory so its records remain analysable. Widening the cascade to HTTPS, the tailnet and the leaf files is tracked, not done.			decision		go:api/internal/busauth/tokens.go#Store.RevokeByNodeID	geekdojo/geekdojo-brain#575, geekdojo/geekdojo-brain#484	454
c35d80725667a24d	C07	canonical	sidecar to api callbacks, HTTP	None. The api reads alert state from VictoriaMetrics in a background loop; there is no inbound callback to authenticate.			decision		go:api/internal/alerts/service.go#Service.RunRuleSync	geekdojo/geekdojo-brain#566	524
2bb2a1505607ad3f	C08	canonical	secrets at rest, filesystem	Every secret file is written 0600 through a synced temporary file and a rename, with the mode set by fchmod rather than inherited from a umask. Modes are per file and no unit sets a UMask. One helper per Go module owns that decision (E36).			true-now		go:api/internal/atrest/atrest.go#WriteSecretFile		42
0985f0e150e277b1	C09	canonical	detached CMS signatures, artifact	artifactsig verification for an explicit purpose, with the purpose OID fixed per artifact class.			true-now		go:artifactsig/verify.go#VerifyForPurpose		159
d1c0d9a2372c4ec3	C10	canonical	operator to node shell, SSH	One Go validator for the operator public key, shared by every surface that accepts one.			true-now		go:api/internal/setup/operatorkeys.go#ValidOperatorSSHKey		64
